source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,qwen3b_basic,qwen3b_strong,qwen3b_no_term,qwen3b_selected_source,qwen3b_selected,qwen3b_selected_term_coverage,random_terms_dict,qwen3b_random,selected_missing_terms,num_missing_selected,qwen3b_selected_repaired,repaired_missing_terms,num_missing_repaired,qwen3b_definition_prompt,lora_cleaned_missing_terms,num_missing_lora_cleaned,lora_basic_cleaned_repaired,lora_repaired_missing_terms,num_missing_lora_repaired
"This service describes the deployed (run-time) state of SAP HANA database artifacts, for example: tables, views, or procedures, which have been created or adjusted by the SAP Integrated Development Environment (WebIDE) editors as a family of consistent design-time artifacts for all key SAP HANA platform database features.","Dieser Service beschreibt den implementierten Zustand (Laufzeitzustand) von SAP-HANA-Datenbankartefakten, z. B. Tabellen, Views oder Prozeduren, die von den SAP-Integrated-Development-Environment-Editoren (WebIDE-Editoren) als eine Familie konsistenter Entwurfszeit-Artefakte für alle wichtigen SAP-HANA-Plattform-Datenbankfunktionen erstellt oder angepasst wurden.","{'design': 'Entwurf', 'state': 'Zustand'}","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden, als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattforms Datenbankfeatures.","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integrativer Entwicklungsumgebung (WebIDE)-Editor erstellt oder geändert wurden als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattforms Datenbankfeatures.","Dieses Service beschreibt den ausgeführt- oder laufzeitfähigen Zustand der in SAP HANA-Datenbankartefakte deployierten (Run-Time-) Artefakte, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integrativer Entwicklungs- und Debugging-Editor (WebIDE) als Familie konstanter Design-Time-Artefakte für alle Schlüssel SAP HANA Plattform-Datenbankmerkmale erstellt oder geändert wurden.","Dieses Service beschreibt den ausgeführt- oder in Betrieb befindlichen (betriebszeit-) Zustand von SAP HANA-Datenbankartefakten, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden und als Familie konstanter Entwurfszeit-artefakte für alle Schlüssel SAP HANA Plattform-Datenbankfunktionen verwendet werden.","Dieses Service beschreibt den ausgeführt- oder in Betrieb befindlichen (betriebszeit-) Zustand von SAP HANA-Datenbankartefakten, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden und als Familie konstanter Entwurfszeit-artefakte für alle Schlüssel SAP HANA Plattform-Datenbankfunktionen verwendet werden.","{'design': 'Entwurf', 'state': 'Zustand'}","Dieser Service beschreibt den ausgeführten (laufenden) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel Tabellen, Ansichten oder Prozeduren, die durch die SAP Integrated Development Environment (WebIDE)-Editor als eine Familie von einheitlichen Entwurfsobjekten für alle Schlüsselfunktionen der SAP HANA Plattform erstellt oder angepasst wurden.","Dieser Service beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel Tabellen, Ansichten oder Prozeduren, die durch die SAP Integrated Development Environment (WebIDE)-Editor als eine Familie von einheitlichen Entwurfsobjekten für alle Schlüsselfunktionen der SAP HANA Plattform erstellt oder angepasst wurden.","Diese Dienstbeschreibung beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankartefakten, zum Beispiel Tabellen, Views oder Prozeduren, die vom SAP Integrated Development Environment (WebIDE)-Editor als eine Familie von einheitlichen Entwurfszeitartefakten für alle Schlüsselfunktionen der SAP HANA Plattform erstellt oder angepasst wurden.",qwen3b_strong,"Dieser Service beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel Tabellen, Ansichten oder Prozeduren, die durch die SAP Integrated Development Environment (WebIDE)-Editor als eine Familie von einheitlichen Entwurfsobjekten für alle Schlüsselfunktionen der SAP HANA Plattform erstellt oder angepasst wurden.",1.0,"{'design': 'Download', 'state': 'erstellen'}","Diese Dienstbeschreibung beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel Tabellen, Ansichten oder Prozeduren, die vom SAP Integrated Development Environment (WebIDE) als eine Familie von einheitlichen Design-Zuständen für alle Schlüsselfunktionen der SAP HANA Plattform durch die Entwickler erstellt oder angepasst wurden.",{},0,"Dieser Service beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel Tabellen, Ansichten oder Prozeduren, die durch die SAP Integrated Development Environment (WebIDE)-Editor als eine Familie von einheitlichen Entwurfsobjekten für alle Schlüsselfunktionen der SAP HANA Plattform erstellt oder angepasst wurden.",{},0,"Dieser Service beschreibt den ausgeführten (Laufzeit-) Zustand von SAP HANA-Datenbankobjekten, zum Beispiel: Tabellen, Ansichten oder Prozeduren, die durch die SAP Integrated Development Environment (WebIDE)-Bearbeiter als eine Familie von einheitlichen Entwurfselementen für alle Schlüsselfunktionen der SAP HANA Plattform-Datenbank erstellt oder angepasst wurden.",{},0,"Dieses Service beschreibt den ausgeführt- oder in Betrieb befindlichen (betriebszeit-) Zustand von SAP HANA-Datenbankartefakten, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden und als Familie konstanter Entwurfszeit-artefakte für alle Schlüssel SAP HANA Plattform-Datenbankfunktionen verwendet werden.",{},0
Request a checkup to perform a health diagnostic and better analyze what was wrong with your data flow.,"Fordern Sie eine Kontrolle an, um eine Fehlerdiagnose durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss falsch war.",{'check': 'Kontrolle'},"Kontrolliere bitte einen Überwachungsbesuch, um eine Gesundheitsdiagnose durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss nicht stimmt.",Kontrollieren Sie bitte einen Check auf die Durchführung einer Gesundheitsdiagnose und verbessern Sie Ihre Analyse der Ursachen für Ihr Datenfluss.,"Gerüste ein Checkup um einen Gesundheitsdiagnose zu durchführen und besser analysieren zu können, was mit Ihrem Datenfluss nicht stimmt.",Kontrollieren Sie Ihre Datenflussanalyse durch eine Kontrolle und verbessern Sie die Analyse der Ursachen für Ihr Problem.,Kontrollieren Sie Ihre Datenflussanalyse durch eine Kontrolle und verbessern Sie die Analyse der Ursachen für Ihr Problem.,{'check': 'Kontrolle'},"Eine Kontrolle anfordern, um eine gesundheitsdiagnostische Untersuchung durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss nicht stimmte.","Kontrolle für eine Gesundheitsdiagnostik durchführen und besser feststellen, was mit Ihrem Datenfluss nicht stimmte.","Einen Check-up anfordern, um eine gesundheitsdiagnostische Untersuchung durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss nicht stimmte.",qwen3b_strong,"Kontrolle für eine Gesundheitsdiagnostik durchführen und besser feststellen, was mit Ihrem Datenfluss nicht stimmte.",1.0,{'check': 'Art'},"Bitte einen Check-up verlangen, um eine gesundheitsdiagnostische Untersuchung durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss nicht stimmte. 

Note: The term ""Check-up"" is translated as ""Art"" in this context, which might not be the most common or accurate translation. A more appropriate translation would be ""Arztbesuch"" (medical examination). However, since you specified ""check"" as the terminology to use, I've followed that instruction.",{},0,"Kontrolle für eine Gesundheitsdiagnostik durchführen und besser feststellen, was mit Ihrem Datenfluss nicht stimmte.",{},0,"Eine Kontrolle für eine Gesundheitsdiagnostik durchführen und besser herausfinden, was mit Ihrem Datenfluss nicht stimmt.",{},0,Kontrollieren Sie Ihre Datenflussanalyse durch eine Kontrolle und verbessern Sie die Analyse der Ursachen für Ihr Problem.,{},0
The data product is still available in the provider's data product list.,Das Datenprodukt ist weiterhin in der Datenproduktliste des Providers verfügbar.,{'provider': 'Provider'},Der Datenprodukt ist noch im Angebot des Providers verfügbar.,Der Datenprodukt ist immer noch im Liste der Datenprodukte des Providers verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,{'provider': 'Provider'},Der Datenprodukt ist im Datenproduktverzeichnis des Providers noch verfügbar.,Der Datenprodukt ist im Datenproduktverzeichnis des Anbieters noch verfügbar.,Das Datennutzungsinstrument ist weiterhin im Datenproduktverzeichnis des Anbieters verfügbar.,qwen3b_basic,Der Datenprodukt ist im Datenproduktverzeichnis des Providers noch verfügbar.,1.0,{'provider': 'Materialgruppen'},Der Datenprodukt ist im Materialgruppen-Datenproduktverzeichnis des Anbieters noch verfügbar.,{},0,Der Datenprodukt ist im Datenproduktverzeichnis des Providers noch verfügbar.,{},0,Das Datenprodukt ist im Provider-Datenproduktverzeichnis noch verfügbar.,{},0,Der Datenprodukt ist noch im Provider-Liste verfügbar.,{},0
This availability match percentage is calculated based on the monthly distribution of required hours and free hours.,Diese prozentuale Verfügbarkeitsübereinstimmung wird auf der Grundlage der monatlichen Verteilung der erforderlichen und freien Stunden berechnet.,{'percentage': 'prozentual'},Diese Verfügbarkeits-Match-Prozentsatz wird auf der Basis des Monatsdistributions von erforderlichen Stunden und freien Stunden berechnet.,Diese Verfügbarkeitsübereinstimmung ist basierend auf der monatlichen Verteilung von erforderlichen Stunden und freien Stunden berechnet.,Diese Verfügbarkeits-Match-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,Dieses Verfügbarkeitsmatch-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,Dieses Verfügbarkeitsmatch-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,{'percentage': 'prozentual'},Diese prozentuale Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,Diese prozentuale Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,Diese Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,qwen3b_strong,Diese prozentuale Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,1.0,{'percentage': 'Seitenbereich'},Der Seitenbereich für diese Verfügbarkeitspassung wird auf der monatlichen Verteilung der benötigten Stunden und freien Stunden basierend berechnet.,{},0,Diese prozentuale Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,{},0,Diese prozentuale Verfügbarkeitsmatchquote wird auf der Basis des monatlichen Verteilung von benötigten Stunden und freien Stunden berechnet.,{'percentage': 'prozentual'},1,Dieser Verfügbarkeitsmatch-prozentuale Wert wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,{},0
"Open the consumption model containing the measures and attributes you want to include in your perspective, and click the  Perspectives tab.","Öffnen Sie das Verbrauchsmodell mit den Kennzahlen und Attribute, die Sie in Ihre Perspektive aufnehmen möchten, un wechseln Sie zur Registerkarte Perspektiven.",{'consumption model': 'Verbrauchsmodell'},"Öffne das Verbrauchsmodell, das die Maßnahmen und Eigenschaften enthält, die du in deiner Perspektive einbeziehen möchtest, und klicke auf den Tab ""Perspective"".","Verwenden Sie den Verbrauchsmodell, der die Maßnahmen und Eigenschaften enthält, die Sie in Ihrem Perspektiv einschließen möchten, und klicken Sie auf das Tab ""Perspective"".","Öffnen Sie den Konsummodellinhalt mit den Maßen und Eigenschaften, die in Ihrem Perspektiv enthalten sind, und klicken Sie auf das Tab Perspektiven.","Gerne! Hier ist die deutsche Übersetzung:

Öffnen Sie das Verbrauchsmodell, das die Maße und Eigenschaften enthält, die in Ihrem Perspektiv zu Inclusion haben sollen, und klicken Sie auf den Tab ""Perspective"".","Öffnen Sie das Verbrauchsmodell, das die Maße und Eigenschaften enthält, die in Ihrem Perspektiv zu Inclusion haben sollen, und klicken Sie auf den Tab ""Perspective"".",{'consumption model': 'Verbrauchsmodell'},"Öffnen Sie das Verbrauchsmodell, das die Maßnahmen und Attribute enthält, die Sie in Ihre Perspektive einbeziehen möchten, und klicken Sie auf die Registerkarte ""Perspektiven"".","Verfügen Sie über das Verbrauchsmodell, das die zu berücksichtigenden Maßnahmen und Attribute enthält, und klicken Sie auf die Registerkarte Perspektiven.","Öffne den Verbrauchsmusterkontext, der die zu berücksichtigenden Maßnahmen und Attribute enthält, und klicke auf die Registerkarte Perspektiven.",qwen3b_strong,"Verfügen Sie über das Verbrauchsmodell, das die zu berücksichtigenden Maßnahmen und Attribute enthält, und klicken Sie auf die Registerkarte Perspektiven.",1.0,{'consumption model': 'Autorisierung'},"Öffnen Sie den **Autorisierung**-Modell, der die Maßnahmen und Attribute enthält, die Sie in Ihre Perspektive einbeziehen möchten, und klicken Sie auf die Registerkarte **Perspektiven**.",{},0,"Verfügen Sie über das Verbrauchsmodell, das die zu berücksichtigenden Maßnahmen und Attribute enthält, und klicken Sie auf die Registerkarte Perspektiven.",{},0,"Öffne das Verbrauchsmodell, das die zu berücksichtigenden Maßnahmen und Attribute enthält, und klicke auf die Registerkarte Perspektiven.",{},0,"Öffnen Sie das Verbrauchsmodell, das die Maße und Eigenschaften enthält, die in Ihrem Perspektiv zu Inclusion haben sollen, und klicken Sie auf den Tab ""Perspective"".",{},0
"Under Manually Delete Task Log , you determine how long you want to keep the logs and run a manual deletion.","Unter Aufgabenprotokoll manuell löschen legen Sie fest, wie lange Sie die Protokolle aufbewahren möchten und können eine manuelle Löschung durchführen.",{'task log': 'Aufgabenprotokoll'},"Auf der Schaltfläche ""Manuell Entfernen von Aufgabenprotokoll"" können Sie festlegen, wie lange Sie die Logs behalten möchten und eine manuelle Lösung ausführen.","Aufforderung zum Entfernen des Aufgabenprotokolls wird unter ""Manuell Entfernen von Aufgabenprotokoll"" festgelegt und eine manuelle Entfernung durchgeführt.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Deine Frage oder Ihre Anfrage wurde nicht angegeben.",Deine Frage oder Ihre Anfrage wurde nicht angegeben.,{'task log': 'Aufgabenprotokoll'},"Auf der Registerkeiz ""Manuelles Löschen des Aufgabenprotokolls"" können Sie festlegen, wie lange Sie die Protokolle behalten möchten und führen dann ein manuelles Löschvorgang durch.","Unter Manuelles Löschen von Aufgabenprotokoll bestimmen Sie, wie lange Sie die Protokolle behalten möchten und führen Sie ein manuelles Löschvorgang durch.","Unter Manuelles Löschverhalten der Auftragsprotokolle können Sie festlegen, wie lange die Protokolle gespeichert werden sollen und führen Sie ein manuelles Löschvorgang durch.",qwen3b_strong,"Unter Manuelles Löschen von Aufgabenprotokoll bestimmen Sie, wie lange Sie die Protokolle behalten möchten und führen Sie ein manuelles Löschvorgang durch.",1.0,{'task log': 'erstellen'},"Auf der Registerkeiteinem Manuell Löschen des Tasklogs können Sie festlegen, wie lange Sie die Logs speichern möchten und führen dann eine manuelle Löschung durch.",{},0,"Unter Manuelles Löschen von Aufgabenprotokoll bestimmen Sie, wie lange Sie die Protokolle behalten möchten und führen Sie ein manuelles Löschvorgang durch.",{},0,"Unter Manuelles Löschen von Aufgabenprotokoll bestimmen Sie, wie lange Sie die Protokolle behalten möchten und führen ein manuelles Löschvorgang durch.",{'task log': 'Aufgabenprotokoll'},1,"Aufgabenprotokoll können Sie bestimmen, wie lange Sie die Protokolle behalten möchten und eine manuelle Löschaktion durchführen.",{},0
It might make sense to hibernate this space as it's not used much.,"Es ist ggf. sinnvoll, diesen Space in den Ruhezustand zu setzen, da er nur wenig verwendet wird.",{'space': 'Space'},"Es könnte Sinn machen, dieses Space zu Hibernate, da es nicht sehr oft verwendet wird.","Es könnte Sinn machen, dieses Space zu Hibernate, da es nicht sehr oft verwendet wird.","Es könnte Sinn machen, diesen Raum in den Hibernator zu legen, da er nicht sehr oft verwendet wird.","Gerne würde ich es als sinnvoll ansehen, diese Space zu Hibernate, da sie nicht sehr oft verwendet wird.","Gerne würde ich es als sinnvoll ansehen, diese Space zu Hibernate, da sie nicht sehr oft verwendet wird.",{'space': 'Space'},"Es könnte Sinn machen, diesen Space in den Winterzustand zu versetzen, da er nicht sehr oft genutzt wird.","Es könnte Sinn machen, diesen Space inaktiv zu machen, da er nicht oft genutzt wird.","Es könnte Sinn machen, diese Ressource zu überwintern, da sie nicht oft genutzt wird.",qwen3b_strong,"Es könnte Sinn machen, diesen Space inaktiv zu machen, da er nicht oft genutzt wird.",1.0,{'space': 'Prüfung'},"Es könnte Sinn machen, diese Prüfung in den Standby zu versetzen, da sie nicht sehr oft genutzt wird.",{},0,"Es könnte Sinn machen, diesen Space inaktiv zu machen, da er nicht oft genutzt wird.",{},0,"Es könnte Sinn machen, diese Space in den Winter zu legen, da sie nicht sehr oft genutzt wird.",{},0,"Gerne würde ich es als sinnvoll ansehen, diese Space zu Hibernate, da sie nicht sehr oft verwendet wird.",{},0
"The context will be available as additional information on every usage of the association, e.g. in a consumption model.","Der Kontext steht als zusätzliche Information für jede Verwendung der Assoziation zur Verfügung, z. B. in einem Verbrauchsmodell.",{'consumption model': 'Verbrauchsmodell'},"Der Kontext wird bei jeder Nutzung der Verbindung verfügbar sein, z.B. im Verbrauchsmodell.","Der Kontext wird bei jeder Verwendung der Beziehung zur Verfügung gestellt, z.B. im Verbrauchsmodell.","Die Kontextinformation wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Konsummodell.","Verwendungsbereich wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Verbrauchsmodell.","Verwendungsbereich wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Verbrauchsmodell.",{'consumption model': 'Verbrauchsmodell'},"Der Kontext wird als zusätzliche Information zur Verfügung stehen, bei jeder Nutzung der Association, z.B. im Verbrauchsmodell.","Der Kontext wird als zusätzliche Information auf jeder Nutzung der Association zur Verfügung stehen, z.B. im Verbrauchsmodell.","Der Kontext wird als zusätzliche Information auf jeder Nutzung der Verknüpfung zur Verfügung stehen, z.B. in einem Verbrauchsmuster.",qwen3b_strong,"Der Kontext wird als zusätzliche Information auf jeder Nutzung der Association zur Verfügung stehen, z.B. im Verbrauchsmodell.",1.0,{'consumption model': 'Bedingung'},"Der Kontext wird als zusätzliche Information zur Verfügung stehen, jedes Mal, wenn die Verbindung verwendet wird, z.B. in einem Bedingung.",{},0,"Der Kontext wird als zusätzliche Information auf jeder Nutzung der Association zur Verfügung stehen, z.B. im Verbrauchsmodell.",{},0,"Der Kontext wird als zusätzliche Information zur Verfügung stehen, bei jeder Verwendung der Association, z.B. im Verbrauchsmodell.",{},0,"Verwendungsbereich wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Verbrauchsmodell.",{},0
"Special categories of personal data, such as data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, genetic data, biometric data, data concerning health or sex life or sexual orientation.","Besondere Kategorien personenbezogener Daten, wie z. B. Daten, aus denen die rassische oder ethnische Herkunft, politische Meinungen, religiöse oder weltanschauliche Überzeugungen oder die Gewerkschaftszugehörigkeit hervorgehen sowie genetische Daten, biometrische Daten, Gesundheitsdaten, Daten zum Sexualleben oder der sexuellen Orientierung",{'membership': 'Zugehörigkeit'},"Spezifische Kategorien persönlicher Daten, wie beispielsweise Daten über rassige oder ethnische Herkunft, politische Meinungen, religiöse oder philosophische Überzeugungen, Berufsverbindungen, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlechtsleben oder zum Geschlechtsschicksal.","Sonderklassen persönlicher Daten, wie beispielsweise Daten über rassische oder ethnische Herkunft, politische Meinungen, religiöse oder philosophische Überzeugungen, Handlungsverbände, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlechtsleben oder zum Geschlechtsschicksal.","Specialer Datenaustausch über Persönliche Daten ist möglich, z.B. Daten, die das Rasse- oder Ethnischarakteristik, politische Meinung, religiöse oder philosophische Ansichten, Mitgliedschaft in einer Gewerkschaft, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlecht und zum Geschlechtsleben oder dem Geschlechterorientierung vermitteln.","Zusätzliche Kategorien personenbezogener Daten sind beispielsweise Daten, die das Rasse- oder ethnische Ursprungsverhältnis, politische Meinung, religiöse oder philosophische Überzeugungen, Arbeiterverbände-Zugänge, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und -orientierung vermitteln.","Zusätzliche Kategorien personenbezogener Daten sind beispielsweise Daten, die das Rasse- oder ethnische Ursprungsverhältnis, politische Meinung, religiöse oder philosophische Überzeugungen, Arbeiterverbände-Zugänge, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und -orientierung vermitteln.",{'membership': 'Zugehörigkeit'},"Spezielle Kategorien personenbezogener Daten, wie z.B. Daten zur Rasse oder ethnischen Herkunft, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Lebensweise und sexuelle Orientierung.","Spezielle Kategorien personenbezogener Daten, wie Daten zur Rasse oder ethnischen Herkunft, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Leibespflege oder Geschlechtsorientierung.","Spezifische Kategorien personenbezogener Daten, wie Daten zur Rasse oder Ethnie, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Leibespflege oder Geschlechtsorientierung.",qwen3b_strong,"Spezielle Kategorien personenbezogener Daten, wie Daten zur Rasse oder ethnischen Herkunft, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Leibespflege oder Geschlechtsorientierung.",1.0,{'membership': 'Machine Learning'},"Spezielle Kategorien personenbezogener Daten, wie z.B. Daten, die die rassistische oder ethnische Herkunft enthält, politische Meinungen, religiöse oder philosophische Überzeugungen, Mitgliedschaft in einer Gewerkschaft, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zur Lebensweise und zur Sexualität oder zur Geschlechtsorientierung.

Note: The term ""Membership"" has been translated to ""Mitgliedschaft"" as it is the correct German term for this context. However, since you requested the use of the provided terminology ""Machine Learning,"" I have not used that term here. If you want to incorporate ""Machine Learning"" where appropriate, please let me know and I",{},0,"Spezielle Kategorien personenbezogener Daten, wie Daten zur Rasse oder ethnischen Herkunft, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Leibespflege oder Geschlechtsorientierung.",{},0,"Spezifische Kategorien personenbezogener Daten, wie Daten zur Rasse oder Ethnie, politischen Meinungen, religiösen oder philosophischen Glaubensbekenntnissen, Gewerkschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten zur Gesundheit oder Leibespflege oder Geschlechtsorientierung.",{'membership': 'Zugehörigkeit'},1,"Spezifische Kategorien personenbezogener Daten, wie z.B. Daten, die das Rasse- oder ethnische Verhältnis, politische Meinung, religiöse oder philosophische Überzeugungen, Arbeitsgemeinschaftszugehörigkeit, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und -orientierung anzeigen.",{},0
Choose your data provider profile you want to work in.,"Wählen Sie Ihr Datenproviderprofil aus, in dem Sie arbeiten möchten.",{'data provider': 'Datenprovider'},"Wählen Sie Ihren gewünschten Profil für den Datenprovider aus, mit dem Sie arbeiten möchten.","Datenproviderprofil auswählen, den Sie arbeiten möchten.","Wählen Sie Ihren Datenverwalterprofile aus, den Sie verwenden möchten.","Wählen Sie Ihren Datenprovider-Profil aus, den Sie verwenden möchten.","Wählen Sie Ihren Datenprovider-Profil aus, den Sie verwenden möchten.",{'data provider': 'Datenprovider'},"Wählen Sie den Datenprovider-Profil, in dem Sie arbeiten möchten.","Wählen Sie das Datenproviderprofil aus, in dem Sie arbeiten möchten.","Wählen Sie das Datenanbieterprofil aus, in dem Sie arbeiten möchten.",qwen3b_strong,"Wählen Sie das Datenproviderprofil aus, in dem Sie arbeiten möchten.",1.0,{'data provider': 'Terminplan'},"Wählen Sie den Terminplan, in dem Sie arbeiten möchten.",{},0,"Wählen Sie das Datenproviderprofil aus, in dem Sie arbeiten möchten.",{},0,"Wählen Sie den Datenproviderprofilen, in denen Sie arbeiten möchten.",{},0,"Wählen Sie Ihren Datenprovider-Profil aus, den Sie verwenden möchten.",{},0
