source,reference,terms,base_basic,base_strong,lora_no_term,lora_basic,lora_basic_cleaned,terms_dict,base_translation_only,base_basic_clean
"This service describes the deployed (run-time) state of SAP HANA database artifacts, for example: tables, views, or procedures, which have been created or adjusted by the SAP Integrated Development Environment (WebIDE) editors as a family of consistent design-time artifacts for all key SAP HANA platform database features.","Dieser Service beschreibt den implementierten Zustand (Laufzeitzustand) von SAP-HANA-Datenbankartefakten, z. B. Tabellen, Views oder Prozeduren, die von den SAP-Integrated-Development-Environment-Editoren (WebIDE-Editoren) als eine Familie konsistenter Entwurfszeit-Artefakte für alle wichtigen SAP-HANA-Plattform-Datenbankfunktionen erstellt oder angepasst wurden.","{'design': 'Entwurf', 'state': 'Zustand'}","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden, als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattforms Datenbankfeatures.","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integrativer Entwicklungsumgebung (WebIDE)-Editor erstellt oder geändert wurden als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattforms Datenbankfeatures.","Dieses Service beschreibt den ausgeführt- oder laufzeitfähigen Zustand der in SAP HANA-Datenbankartefakte deployierten (Run-Time-) Artefakte, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integrativer Entwicklungs- und Debugging-Editor (WebIDE) als Familie konstanter Design-Time-Artefakte für alle Schlüssel SAP HANA Plattform-Datenbankmerkmale erstellt oder geändert wurden.","Dieses Service beschreibt den ausgeführt- oder in Betrieb befindlichen (betriebszeit-) Zustand von SAP HANA-Datenbankartefakten, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden und als Familie konstanter Entwurfszeit-artefakte für alle Schlüssel SAP HANA Plattform-Datenbankfunktionen verwendet werden.","Dieses Service beschreibt den ausgeführt- oder in Betrieb befindlichen (betriebszeit-) Zustand von SAP HANA-Datenbankartefakten, z.B. Tabellen, Views oder Prozeduren, die durch das SAP Integratete Entwicklungssystem (WebIDE)-Editor erstellt oder geändert wurden und als Familie konstanter Entwurfszeit-artefakte für alle Schlüssel SAP HANA Plattform-Datenbankfunktionen verwendet werden.","{'design': 'Entwurf', 'state': 'Zustand'}","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekteartefakte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integrativer Entwicklungszentrum (WebIDE)-Editor erstellt oder geändert wurden als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattform-Datenbankfeatures.","Dieses Service beschreibt den ausgeführten (betrieblichen) Zustand der SAP HANA-Datenbank-Objekteartefakte, z.B. Tabellen, Ansichten oder Prozeduren, die durch das SAP Integrativer Entwicklungszugriff (WebIDE)-Editor erstellt oder geändert wurden als Familie konstanter Entwurfszeitobjekte für alle Schlüsselfunktionen des SAP HANA Plattform-datenbankfeatures."
Request a checkup to perform a health diagnostic and better analyze what was wrong with your data flow.,"Fordern Sie eine Kontrolle an, um eine Fehlerdiagnose durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss falsch war.",{'check': 'Kontrolle'},"Kontrolliere bitte einen Überwachungsbesuch, um eine Gesundheitsdiagnose durchzuführen und besser zu analysieren, was mit Ihrem Datenfluss nicht stimmt.",Kontrollieren Sie bitte einen Check auf die Durchführung einer Gesundheitsdiagnose und verbessern Sie Ihre Analyse der Ursachen für Ihr Datenfluss.,"Gerüste ein Checkup um einen Gesundheitsdiagnose zu durchführen und besser analysieren zu können, was mit Ihrem Datenfluss nicht stimmt.",Kontrollieren Sie Ihre Datenflussanalyse durch eine Kontrolle und verbessern Sie die Analyse der Ursachen für Ihr Problem.,Kontrollieren Sie Ihre Datenflussanalyse durch eine Kontrolle und verbessern Sie die Analyse der Ursachen für Ihr Problem.,{'check': 'Kontrolle'},"Kontrolle für eine Gesundheitsdiagnose und besser analysieren, was mit deinem Datenfluss nicht stimmt.",Kontrolle um eine Gesundheitsdiagnose durchzuführen und besser die Ursache für Ihr Datenfluss zu analysieren.
The data product is still available in the provider's data product list.,Das Datenprodukt ist weiterhin in der Datenproduktliste des Providers verfügbar.,{'provider': 'Provider'},Der Datenprodukt ist noch im Angebot des Providers verfügbar.,Der Datenprodukt ist immer noch im Liste der Datenprodukte des Providers verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,Der Datenprodukt ist noch im Provider-Liste verfügbar.,{'provider': 'Provider'},Der Datenprodukt ist noch im Listen des Providers verfügbar.,Der Datenprodukt ist noch im Listen des Providers verfügbar.
This availability match percentage is calculated based on the monthly distribution of required hours and free hours.,Diese prozentuale Verfügbarkeitsübereinstimmung wird auf der Grundlage der monatlichen Verteilung der erforderlichen und freien Stunden berechnet.,{'percentage': 'prozentual'},Diese Verfügbarkeits-Match-Prozentsatz wird auf der Basis des Monatsdistributions von erforderlichen Stunden und freien Stunden berechnet.,Diese Verfügbarkeitsübereinstimmung ist basierend auf der monatlichen Verteilung von erforderlichen Stunden und freien Stunden berechnet.,Diese Verfügbarkeits-Match-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,Dieses Verfügbarkeitsmatch-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,Dieses Verfügbarkeitsmatch-Prozentsatz wird auf der Basis des Monatsverteilung von erforderlichen Stunden und freien Stunden berechnet.,{'percentage': 'prozentual'},Dieser Verfügbarkeitsmatch-Prozentsatz wird auf der Grundlage des Monatsdistributions von erforderlichen Stunden und freien Stunden berechnet.,Dieser Verfügbarkeitsmatch-Prozentsatz wird auf der Grundlage des Monatsdistributions von erforderlichen Stunden und freien Stunden berechnet.
"Open the consumption model containing the measures and attributes you want to include in your perspective, and click the  Perspectives tab.","Öffnen Sie das Verbrauchsmodell mit den Kennzahlen und Attribute, die Sie in Ihre Perspektive aufnehmen möchten, un wechseln Sie zur Registerkarte Perspektiven.",{'consumption model': 'Verbrauchsmodell'},"Öffne das Verbrauchsmodell, das die Maßnahmen und Eigenschaften enthält, die du in deiner Perspektive einbeziehen möchtest, und klicke auf den Tab ""Perspective"".","Verwenden Sie den Verbrauchsmodell, der die Maßnahmen und Eigenschaften enthält, die Sie in Ihrem Perspektiv einschließen möchten, und klicken Sie auf das Tab ""Perspective"".","Öffnen Sie den Konsummodellinhalt mit den Maßen und Eigenschaften, die in Ihrem Perspektiv enthalten sind, und klicken Sie auf das Tab Perspektiven.","Gerne! Hier ist die deutsche Übersetzung:

Öffnen Sie das Verbrauchsmodell, das die Maße und Eigenschaften enthält, die in Ihrem Perspektiv zu Inclusion haben sollen, und klicken Sie auf den Tab ""Perspective"".","Öffnen Sie das Verbrauchsmodell, das die Maße und Eigenschaften enthält, die in Ihrem Perspektiv zu Inclusion haben sollen, und klicken Sie auf den Tab ""Perspective"".",{'consumption model': 'Verbrauchsmodell'},"Öffne das Verbrauchsmodell, das die Maßnahmen und Eigenschaften enthält, die du in deiner Perspektive einbeziehen möchtest, und klicke auf den Tab Perspectives.","Öffne das Verbrauchsmodell, das die Maßnahmen und Eigenschaften enthält, die du in deiner Perspektive einbeziehen möchtest, und klicke auf den Tab ""Perspective""."
"Under Manually Delete Task Log , you determine how long you want to keep the logs and run a manual deletion.","Unter Aufgabenprotokoll manuell löschen legen Sie fest, wie lange Sie die Protokolle aufbewahren möchten und können eine manuelle Löschung durchführen.",{'task log': 'Aufgabenprotokoll'},"Auf der Schaltfläche ""Manuell Entfernen von Aufgabenprotokoll"" können Sie festlegen, wie lange Sie die Logs behalten möchten und eine manuelle Lösung ausführen.","Aufforderung zum Entfernen des Aufgabenprotokolls wird unter ""Manuell Entfernen von Aufgabenprotokoll"" festgelegt und eine manuelle Entfernung durchgeführt.","Gerne! Bitte geben Sie den englischen Text ein, und ich werde ihn für Sie in deutscher Sprache übersetzen.","Gerne! Hier ist die deutsche Übersetzung:

Deine Frage oder Ihre Anfrage wurde nicht angegeben.",Deine Frage oder Ihre Anfrage wurde nicht angegeben.,{'task log': 'Aufgabenprotokoll'},Unter Manually Delete Task Log bestimmen Sie die Länge der Logs und führen eine manuelle Lösung aus.,"Aufgabenprotokoll unter ""Manually Delete Task Log"" bestimmen Sie die Länge der Logs und führen eine manuelle Lösung durch."
It might make sense to hibernate this space as it's not used much.,"Es ist ggf. sinnvoll, diesen Space in den Ruhezustand zu setzen, da er nur wenig verwendet wird.",{'space': 'Space'},"Es könnte Sinn machen, dieses Space zu Hibernate, da es nicht sehr oft verwendet wird.","Es könnte Sinn machen, dieses Space zu Hibernate, da es nicht sehr oft verwendet wird.","Es könnte Sinn machen, diesen Raum in den Hibernator zu legen, da er nicht sehr oft verwendet wird.","Gerne würde ich es als sinnvoll ansehen, diese Space zu Hibernate, da sie nicht sehr oft verwendet wird.","Gerne würde ich es als sinnvoll ansehen, diese Space zu Hibernate, da sie nicht sehr oft verwendet wird.",{'space': 'Space'},"Es könnte Sinn machen, diese Raum zu hibernieren, da er nicht oft verwendet wird.","Es könnte Sinn machen, diese Raum zu hibernieren, da er nicht oft genutzt wird."
"The context will be available as additional information on every usage of the association, e.g. in a consumption model.","Der Kontext steht als zusätzliche Information für jede Verwendung der Assoziation zur Verfügung, z. B. in einem Verbrauchsmodell.",{'consumption model': 'Verbrauchsmodell'},"Der Kontext wird bei jeder Nutzung der Verbindung verfügbar sein, z.B. im Verbrauchsmodell.","Der Kontext wird bei jeder Verwendung der Beziehung zur Verfügung gestellt, z.B. im Verbrauchsmodell.","Die Kontextinformation wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Konsummodell.","Verwendungsbereich wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Verbrauchsmodell.","Verwendungsbereich wird als zusätzliche Informationen zur Nutzung des Verbandes bereitgestellt, z.B. im Verbrauchsmodell.",{'consumption model': 'Verbrauchsmodell'},"Der Kontext wird bei jeder Nutzung der Beziehung verfügbar sein, z.B. im Verbrauchsmodell.","Das Kontext wird bei Bedarf als zusätzliche Informationen zur Nutzung des Zusammenhangs bereitgestellt, z.B. im Verbrauchsmodell."
"Special categories of personal data, such as data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, genetic data, biometric data, data concerning health or sex life or sexual orientation.","Besondere Kategorien personenbezogener Daten, wie z. B. Daten, aus denen die rassische oder ethnische Herkunft, politische Meinungen, religiöse oder weltanschauliche Überzeugungen oder die Gewerkschaftszugehörigkeit hervorgehen sowie genetische Daten, biometrische Daten, Gesundheitsdaten, Daten zum Sexualleben oder der sexuellen Orientierung",{'membership': 'Zugehörigkeit'},"Spezifische Kategorien persönlicher Daten, wie beispielsweise Daten über rassige oder ethnische Herkunft, politische Meinungen, religiöse oder philosophische Überzeugungen, Berufsverbindungen, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlechtsleben oder zum Geschlechtsschicksal.","Sonderklassen persönlicher Daten, wie beispielsweise Daten über rassische oder ethnische Herkunft, politische Meinungen, religiöse oder philosophische Überzeugungen, Handlungsverbände, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlechtsleben oder zum Geschlechtsschicksal.","Specialer Datenaustausch über Persönliche Daten ist möglich, z.B. Daten, die das Rasse- oder Ethnischarakteristik, politische Meinung, religiöse oder philosophische Ansichten, Mitgliedschaft in einer Gewerkschaft, genetische Daten, biometrische Daten, Daten zur Gesundheit oder zum Geschlecht und zum Geschlechtsleben oder dem Geschlechterorientierung vermitteln.","Zusätzliche Kategorien personenbezogener Daten sind beispielsweise Daten, die das Rasse- oder ethnische Ursprungsverhältnis, politische Meinung, religiöse oder philosophische Überzeugungen, Arbeiterverbände-Zugänge, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und -orientierung vermitteln.","Zusätzliche Kategorien personenbezogener Daten sind beispielsweise Daten, die das Rasse- oder ethnische Ursprungsverhältnis, politische Meinung, religiöse oder philosophische Überzeugungen, Arbeiterverbände-Zugänge, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und -orientierung vermitteln.",{'membership': 'Zugehörigkeit'},"Spezialeinheiten personenbezogener Daten, wie Belege für rassische oder ethnisches Ursprünge, politische Meinungen, religiöse oder philosophische Überzeugungen, Mitgliedschaft in Gewerkschaften, genetischer Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Geschlechtsschicksale und Sexualität.","Spezifische Kategorien persönlicher Daten, wie Beispiele für Rasse- und ethnische Ursprünge, politische Meinungen, religiöse oder philosophische Überzeugungen, Mitgliedschaft in Gewerkschaften, genetische Daten, biometrische Daten, Daten über Gesundheit oder Geschlechtsleben oder Sexualität."
Choose your data provider profile you want to work in.,"Wählen Sie Ihr Datenproviderprofil aus, in dem Sie arbeiten möchten.",{'data provider': 'Datenprovider'},"Wählen Sie Ihren gewünschten Profil für den Datenprovider aus, mit dem Sie arbeiten möchten.","Datenproviderprofil auswählen, den Sie arbeiten möchten.","Wählen Sie Ihren Datenverwalterprofile aus, den Sie verwenden möchten.","Wählen Sie Ihren Datenprovider-Profil aus, den Sie verwenden möchten.","Wählen Sie Ihren Datenprovider-Profil aus, den Sie verwenden möchten.",{'data provider': 'Datenprovider'},"Wählen Sie Ihren Datenprovider-Profil, den Sie arbeiten möchten.","Wählen Sie Ihren gewünschten Profil für den Datenprovider aus, mit dem Sie arbeiten möchten."
